# Goxel 0.7.3
# One line per voxel
# X Y Z RRGGBB
2 7 2 ffffff
3 7 2 ffffff
4 7 2 ffffff
5 7 2 ffffff
6 7 2 ffffff
7 7 2 ffffff
8 7 2 ffffff
9 7 2 ffffff
0 8 2 ffffff
1 8 2 ffffff
2 8 2 ffffff
3 8 2 ffffff
4 8 2 ffffff
5 8 2 ffffff
6 8 2 ffffff
7 8 2 ffffff
8 8 2 ffffff
9 8 2 ffffff
0 9 2 ffffff
1 9 2 ffffff
2 9 2 ffffff
3 9 2 ffffff
4 9 2 ffffff
5 9 2 ffffff
6 9 2 ffffff
7 9 2 ffffff
8 9 2 ffffff
9 9 2 ffffff
0 5 3 ffffff
1 5 3 ffffff
2 5 3 ffffff
3 5 3 ffffff
4 5 3 ffffff
5 5 3 ffffff
6 5 3 ffffff
7 5 3 ffffff
8 5 3 ffffff
9 5 3 ffffff
0 6 3 ffffff
1 6 3 ffffff
2 6 3 ffffff
3 6 3 ffffff
4 6 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 ffffff
8 6 3 ffffff
9 6 3 ffffff
0 7 3 ffffff
1 7 3 ffffff
2 7 3 ffffff
3 7 3 ffffff
4 7 3 ffffff
5 7 3 ffffff
6 7 3 ffffff
7 7 3 ffffff
8 7 3 ffffff
9 7 3 ffffff
0 8 3 ffffff
1 8 3 ffffff
2 8 3 ffffff
3 8 3 ffffff
4 8 3 ffffff
5 8 3 ffffff
6 8 3 ffffff
7 8 3 ffffff
8 8 3 ffffff
9 8 3 ffffff
0 9 3 ffffff
1 9 3 ffffff
2 9 3 ffffff
3 9 3 ffffff
4 9 3 ffffff
5 9 3 ffffff
6 9 3 ffffff
7 9 3 ffffff
8 9 3 ffffff
9 9 3 ffffff
0 5 4 ffffff
1 5 4 ffffff
2 5 4 ffffff
3 5 4 ffffff
4 5 4 ffffff
5 5 4 ffffff
6 5 4 ffffff
7 5 4 ffffff
8 5 4 ffffff
9 5 4 ffffff
0 6 4 ffffff
1 6 4 ffffff
2 6 4 ffffff
3 6 4 ffffff
4 6 4 ffffff
5 6 4 ffffff
6 6 4 ffffff
7 6 4 ffffff
8 6 4 ffffff
9 6 4 ffffff
0 7 4 ffffff
1 7 4 ffffff
2 7 4 ffffff
3 7 4 ffffff
4 7 4 ffffff
5 7 4 ffffff
6 7 4 ffffff
7 7 4 ffffff
8 7 4 ffffff
9 7 4 ffffff
0 8 4 ffffff
1 8 4 ffffff
2 8 4 ffffff
3 8 4 ffffff
4 8 4 ffffff
5 8 4 ffffff
6 8 4 ffffff
7 8 4 ffffff
8 8 4 ffffff
9 8 4 ffffff
0 9 4 ffffff
1 9 4 ffffff
2 9 4 ffffff
3 9 4 ffffff
4 9 4 ffffff
5 9 4 ffffff
6 9 4 ffffff
7 9 4 ffffff
8 9 4 ffffff
9 9 4 ffffff
0 5 5 ffffff
1 5 5 ffffff
2 5 5 ffffff
3 5 5 ffffff
4 5 5 ffffff
5 5 5 ffffff
6 5 5 ffffff
7 5 5 ffffff
8 5 5 ffffff
9 5 5 ffffff
0 6 5 ffffff
1 6 5 ffffff
2 6 5 ffffff
3 6 5 ffffff
4 6 5 ffffff
5 6 5 ffffff
6 6 5 ffffff
7 6 5 ffffff
8 6 5 ffffff
9 6 5 ffffff
0 7 5 ffffff
1 7 5 ffffff
2 7 5 ffffff
3 7 5 ffffff
4 7 5 ffffff
5 7 5 ffffff
6 7 5 ffffff
7 7 5 ffffff
8 7 5 ffffff
9 7 5 ffffff
0 8 5 ffffff
1 8 5 ffffff
2 8 5 ffffff
3 8 5 ffffff
4 8 5 ffffff
5 8 5 ffffff
6 8 5 ffffff
7 8 5 ffffff
8 8 5 ffffff
9 8 5 ffffff
0 9 5 ffffff
1 9 5 ffffff
2 9 5 ffffff
3 9 5 ffffff
4 9 5 ffffff
5 9 5 ffffff
6 9 5 ffffff
7 9 5 ffffff
8 9 5 ffffff
9 9 5 ffffff
0 5 6 ffffff
1 5 6 ffffff
2 5 6 ffffff
3 5 6 ffffff
4 5 6 ffffff
5 5 6 ffffff
6 5 6 ffffff
7 5 6 ffffff
8 5 6 ffffff
9 5 6 ffffff
0 6 6 ffffff
1 6 6 ffffff
2 6 6 ffffff
3 6 6 ffffff
4 6 6 ffffff
5 6 6 ffffff
6 6 6 ffffff
7 6 6 ffffff
8 6 6 ffffff
9 6 6 ffffff
0 7 6 ffffff
1 7 6 ffffff
2 7 6 ffffff
3 7 6 ffffff
4 7 6 ffffff
5 7 6 ffffff
6 7 6 ffffff
7 7 6 ffffff
8 7 6 ffffff
9 7 6 ffffff
0 8 6 ffffff
1 8 6 ffffff
2 8 6 ffffff
3 8 6 ffffff
4 8 6 ffffff
5 8 6 ffffff
6 8 6 ffffff
7 8 6 ffffff
8 8 6 ffffff
9 8 6 ffffff
0 9 6 ffffff
1 9 6 ffffff
2 9 6 ffffff
3 9 6 ffffff
4 9 6 ffffff
5 9 6 ffffff
6 9 6 ffffff
7 9 6 ffffff
8 9 6 ffffff
9 9 6 ffffff
0 5 7 ffffff
1 5 7 ffffff
2 5 7 ffffff
3 5 7 ffffff
4 5 7 ffffff
5 5 7 ffffff
6 5 7 ffffff
7 5 7 ffffff
8 5 7 ffffff
9 5 7 ffffff
0 6 7 ffffff
1 6 7 ffffff
2 6 7 ffffff
3 6 7 ffffff
4 6 7 ffffff
5 6 7 ffffff
6 6 7 ffffff
7 6 7 ffffff
8 6 7 ffffff
9 6 7 ffffff
0 7 7 ffffff
1 7 7 ffffff
2 7 7 ffffff
3 7 7 ffffff
4 7 7 ffffff
5 7 7 ffffff
6 7 7 ffffff
7 7 7 ffffff
8 7 7 ffffff
9 7 7 ffffff
0 8 7 ffffff
1 8 7 ffffff
2 8 7 ffffff
3 8 7 ffffff
4 8 7 ffffff
5 8 7 ffffff
6 8 7 ffffff
7 8 7 ffffff
8 8 7 ffffff
9 8 7 ffffff
0 9 7 ffffff
1 9 7 ffffff
2 9 7 ffffff
3 9 7 ffffff
4 9 7 ffffff
5 9 7 ffffff
6 9 7 ffffff
7 9 7 ffffff
8 9 7 ffffff
9 9 7 ffffff
0 5 8 ffffff
1 5 8 ffffff
2 5 8 ffffff
3 5 8 ffffff
4 5 8 ffffff
5 5 8 ffffff
6 5 8 ffffff
7 5 8 ffffff
8 5 8 ffffff
9 5 8 ffffff
0 6 8 ffffff
1 6 8 ffffff
2 6 8 ffffff
3 6 8 ffffff
4 6 8 ffffff
5 6 8 ffffff
6 6 8 ffffff
7 6 8 ffffff
8 6 8 ffffff
9 6 8 ffffff
0 7 8 ffffff
1 7 8 ffffff
2 7 8 ffffff
3 7 8 ffffff
4 7 8 ffffff
5 7 8 ffffff
6 7 8 ffffff
7 7 8 ffffff
8 7 8 ffffff
9 7 8 ffffff
0 8 8 ffffff
1 8 8 ffffff
2 8 8 ffffff
3 8 8 ffffff
4 8 8 ffffff
5 8 8 ffffff
6 8 8 ffffff
7 8 8 ffffff
8 8 8 ffffff
9 8 8 ffffff
0 9 8 ffffff
1 9 8 ffffff
2 9 8 ffffff
3 9 8 ffffff
4 9 8 ffffff
5 9 8 ffffff
6 9 8 ffffff
7 9 8 ffffff
8 9 8 ffffff
9 9 8 ffffff
0 5 9 ffffff
1 5 9 ffffff
2 5 9 ffffff
3 5 9 ffffff
4 5 9 ffffff
5 5 9 ffffff
6 5 9 ffffff
7 5 9 ffffff
8 5 9 ffffff
9 5 9 ffffff
0 6 9 ffffff
1 6 9 ffffff
2 6 9 ffffff
3 6 9 ffffff
4 6 9 ffffff
5 6 9 ffffff
6 6 9 ffffff
7 6 9 ffffff
8 6 9 ffffff
9 6 9 ffffff
0 7 9 ffffff
1 7 9 ffffff
2 7 9 ffffff
3 7 9 ffffff
4 7 9 ffffff
5 7 9 ffffff
6 7 9 ffffff
7 7 9 ffffff
8 7 9 ffffff
9 7 9 ffffff
0 8 9 ffffff
1 8 9 ffffff
2 8 9 ffffff
3 8 9 ffffff
4 8 9 ffffff
5 8 9 ffffff
6 8 9 ffffff
7 8 9 ffffff
8 8 9 ffffff
9 8 9 ffffff
0 9 9 ffffff
1 9 9 ffffff
2 9 9 ffffff
3 9 9 ffffff
4 9 9 ffffff
5 9 9 ffffff
6 9 9 ffffff
7 9 9 ffffff
8 9 9 ffffff
9 9 9 ffffff
